id,project_id,file_name,file_type,status
141,18,gts-2017-technical-info.pdf,pdf,SUCCEEDED
143,19,STRSA 2000-2001 Codebook.pdf,pdf,SUCCEEDED
145,20,Q_Afrobarometer South Africa 2000.pdf,pdf,SUCCEEDED
147,20,Afrobarometer SA 2000 Codebook.pdf,pdf,SUCCEEDED
149,21,W5_Adult_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
151,21,W5_Child_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
153,21,W5_Household_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
155,21,W5_Proxy_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
157,21,nids-panel-user-manual-2018.pdf,pdf,SUCCEEDED
159,21,nidsw1-5-topup-tp8.pdf,pdf,SUCCEEDED
161,21,nidsw1-5-weights-tp9.pdf,pdf,SUCCEEDED
163,21,nids-2008-methodology-tp1.pdf,pdf,SUCCEEDED
165,21,program-library-w5.zip,zip,SUCCEEDED
167,21,nids-w5-consent-forms-v2.zip,zip,SUCCEEDED
169,22,q-nids-cram-2021-w5.pdf,pdf,SUCCEEDED
171,22,nids-cram-2020-2021-user-manual.pdf,pdf,SUCCEEDED
173,22,nids-cram-w5-2021-weights-paper.zip,zip,SUCCEEDED
175,22,nids-cram-2021-w5-syntax.zip,zip,SUCCEEDED
177,23,nids-w5-secure-variables.pdf,pdf,SUCCEEDED
179,23,nids-occ-codes-isco-08.pdf,pdf,SUCCEEDED
181,24,W2_Adult_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
183,24,W2_Child_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
185,24,W2_Household_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
187,24,W2_Proxy_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
189,24,W2 Changes between V3.1 and V4.0.0.pdf,pdf,SUCCEEDED
191,24,nids-panel-user-manual-2018.pdf,pdf,SUCCEEDED
193,24,program-library-w2.zip,zip,SUCCEEDED
195,25,nids-w2-2010-2011-secure-variables.pdf,pdf,SUCCEEDED
197,25,nids-occ-codes-isco-08.pdf,pdf,SUCCEEDED
199,26,q-gts-2017-w1.pdf,pdf,SUCCEEDED
201,26,q-gts-2018-w2.pdf,pdf,SUCCEEDED
203,26,q-gts-2019-w3.pdf,pdf,SUCCEEDED
205,26,gts-2017-2019-v1-syntax.zip,zip,SUCCEEDED
207,27,CAPS_W_12345_v1210_Questionnaires.zip,zip,SUCCEEDED
209,27,CAPS Wave 1 Household Questionnaire.pdf,pdf,SUCCEEDED
211,27,CAPS Wave 1 Literacy and Numeracy Evaluation Questionnaire.pdf,pdf,SUCCEEDED
213,27,CAPS Wave 1 Young Adult Questionnaire.pdf,pdf,SUCCEEDED
215,27,CAPS Wave 2a Young Adult Questionnaire.pdf,pdf,SUCCEEDED
217,27,CAPS Wave 2b Young Adult Questionnaire.pdf,pdf,SUCCEEDED
219,27,CAPS Wave 2b Young Adult School Choice Questionnaire.pdf,pdf,SUCCEEDED
221,27,CAPS Wave 3 Household Questionnaire.pdf,pdf,SUCCEEDED
223,27,CAPS Wave 3 Parent Questionnaire.pdf,pdf,SUCCEEDED
225,27,CAPS Wave 3 Young Adult Questionnaire.pdf,pdf,SUCCEEDED
227,27,CAPS Wave 4 Child Questionnaire.pdf,pdf,SUCCEEDED
229,27,CAPS Wave 4 Household Questionnaire.pdf,pdf,SUCCEEDED
231,27,CAPS Wave 4 Older Adult Questionnaire.pdf,pdf,SUCCEEDED
233,27,CAPS Wave 4 Young Adult Questionnaire.pdf,pdf,SUCCEEDED
235,27,CAPS Wave 4 Young Adult Proxy Questionnaire.pdf,pdf,SUCCEEDED
237,27,CAPS Wave 5 Young Adult Questionnaire Booklet.pdf,pdf,SUCCEEDED
239,27,CAPSW1345 Household Imputations.pdf,pdf,SUCCEEDED
241,27,CAPSW12345 Introduction.pdf,pdf,SUCCEEDED
243,27,CAPSW12345 Overview and Technical.pdf,pdf,SUCCEEDED
245,27,CAPSW12345 Variable Crosswalk.xlsx,xlsx,SUCCEEDED
247,27,CAPSW1-5.LatestVersion_v1203.do,do,SUCCEEDED
249,28,q-afr36-2014-2015.zip,zip,SUCCEEDED
251,28,afr36-2014-2015-merged-codebook.pdf,pdf,SUCCEEDED
253,28,afr36-2014-2015-survey-manual.pdf,pdf,SUCCEEDED
255,29,Q_Afrobarometer 2 South Africa 2002.pdf,pdf,SUCCEEDED
257,29,Afrobarometer 2 South Africa 2002 Codebook.pdf,pdf,SUCCEEDED
259,30,documentation_537.pdf,pdf,SUCCEEDED
260,31,q-afr16-2002-2004.zip,zip,SUCCEEDED
262,31,afr16-2002-2004-codebooks.zip,zip,SUCCEEDED
264,31,afr-1999-2006-survey-dates.pdf,pdf,SUCCEEDED
266,32,W4_Adult_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
268,32,W4_Child_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
270,32,W4_Household_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
272,32,W4_Proxy_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
274,32,W4 Changes between V1.1 and V2.0.0.pdf,pdf,SUCCEEDED
276,32,nids-panel-user-manual-2018.pdf,pdf,SUCCEEDED
278,32,program-library-w4.zip,zip,SUCCEEDED
280,33,q-dhs-sa-1998-adult.pdf,pdf,SUCCEEDED
282,33,q-dhs-sa-1998-hhold.pdf,pdf,SUCCEEDED
284,33,q-dhs-sa-1998-women.pdf,pdf,SUCCEEDED
286,33,dhs-sa-1998-report.pdf,pdf,SUCCEEDED
288,34,W3_Adult_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
290,34,W3_Child_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
292,34,W3_Household_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
294,34,W3_Proxy_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
296,34,W3 Changes between V2.1 and V3.0.0.pdf,pdf,SUCCEEDED
298,34,nids-panel-user-manual-2018.pdf,pdf,SUCCEEDED
300,34,program-library-w3.zip,zip,SUCCEEDED
302,35,W1_Adult_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
304,35,W1_Child_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
306,35,W1_Household_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
308,35,W1_Proxy_Questionnaire_28Aug2018.pdf,pdf,SUCCEEDED
310,35,NIDS 2008 Numeracy Level 1 Wave1.pdf,pdf,SUCCEEDED
312,35,NIDS 2008 Numeracy Level 2 Wave1.pdf,pdf,SUCCEEDED
314,35,NIDS 2008 Numeracy Level 3 Wave1.pdf,pdf,SUCCEEDED
316,35,NIDS 2008 Numeracy Level 4 Wave1.pdf,pdf,SUCCEEDED
318,35,nids-2008-w1-docs-other-languages.zip,zip,SUCCEEDED
320,35,NIDS 2008 Code Sheet V3.1.pdf,pdf,SUCCEEDED
322,35,W1 Changes between V6.1 and V7.0.0.pdf,pdf,SUCCEEDED
324,35,nids-panel-user-manual-2018.pdf,pdf,SUCCEEDED
326,35,program-library-w1.zip,zip,SUCCEEDED
328,35,nidsw1-5-ethics-docs.zip,zip,SUCCEEDED
330,36,afrobarometer-sa-2004-codebook.pdf,pdf,SUCCEEDED
332,37,q-afr7-1999-2000.zip,zip,SUCCEEDED
334,37,afr7-1999-2000-codebooks.zip,zip,SUCCEEDED
336,37,afr-1999-2006-survey-dates.pdf,pdf,SUCCEEDED
338,38,q-afr34-2011-2013.zip,zip,SUCCEEDED
340,38,afr34-2011-2013-survey-manual.pdf,pdf,SUCCEEDED
342,38,afr34-2011-2013-merged-codebook.pdf,pdf,SUCCEEDED
344,39,nids-w4-2012-secure-variables.pdf,pdf,SUCCEEDED
346,39,nids-occ-codes-isco-08.pdf,pdf,SUCCEEDED
348,40,Afrobarometer 3 South Africa 2006 Codebook.pdf,pdf,SUCCEEDED
350,41,nids-w3-secure-variables.pdf,pdf,SUCCEEDED
352,41,nids-occ-codes-isco-08.pdf,pdf,SUCCEEDED
354,42,q-afr20-2008.zip,zip,SUCCEEDED
356,42,afr20-2008-codebooks.zip,zip,SUCCEEDED
358,43,q-afr18-2005-2006.zip,zip,SUCCEEDED
360,43,afr18-2005-2006-codebooks.zip,zip,SUCCEEDED
362,43,afr18-1999-2006-survey-dates.pdf,pdf,SUCCEEDED
364,44,q-glss-2012-hhold-a.pdf,pdf,SUCCEEDED
366,44,q-glss-2012-hhold-b.pdf,pdf,SUCCEEDED
368,44,q-glss-2012-community.pdf,pdf,SUCCEEDED
370,44,glss-2012-2013-report.pdf,pdf,SUCCEEDED
372,45,q-afr34-2016-2018.zip,zip,SUCCEEDED
374,45,afr34-2016-2018-survey-manual.pdf,pdf,SUCCEEDED
376,45,afr34-2016-2018-merged-codebook.pdf,pdf,SUCCEEDED
378,46,nids-w1-2008-secure-variables.pdf,pdf,SUCCEEDED
380,46,nids-occ-codes-isco-08.pdf,pdf,SUCCEEDED
382,47,afb-sa-2008-codebook.pdf,pdf,SUCCEEDED
384,47,afb-sa-2008-technical-info-20100113.pdf,pdf,SUCCEEDED
386,48,q-image-2001-2003-hhold-baseline.pdf,pdf,SUCCEEDED
388,48,q-image-2001-2003-hhold-followup.pdf,pdf,SUCCEEDED
390,48,q-image-2001-2003-senior-female-baseline.pdf,pdf,SUCCEEDED
392,48,q-image-2001-2003-senior-female-followup.pdf,pdf,SUCCEEDED
394,48,q-image-2001-2003-young-person-baseline.pdf,pdf,SUCCEEDED
396,48,q-image-2001-2003-young-person-followup.pdf,pdf,SUCCEEDED
398,48,image-pw-ranking-manual.pdf,pdf,SUCCEEDED
400,48,image-fieldworker-manual.pdf,pdf,SUCCEEDED
402,48,image-gender-hiv-training-manual.pdf,pdf,SUCCEEDED
404,48,image-senior-female-manual.pdf,pdf,SUCCEEDED
406,48,image-fieldwork-manual-follow-ups.pdf,pdf,SUCCEEDED
408,48,image-fieldwork-manual-cohortIII-follow-ups.pdf,pdf,SUCCEEDED
410,48,image-user-manual.pdf,pdf,SUCCEEDED
412,48,image-data-dictionary.pdf,pdf,SUCCEEDED
414,48,image-evaluation-monograph1.pdf,pdf,SUCCEEDED
416,48,image-intervention-monograph.pdf,pdf,SUCCEEDED
418,49,bushmen-demography-1963-1973-description.pdf,pdf,SUCCEEDED
420,49,bushmen-demography-1963-1973-h&w.pdf,pdf,SUCCEEDED
422,49,bushmen-demography-1963-1973-individual.pdf,pdf,SUCCEEDED
424,49,bushmen-demography-1963-1973-women.pdf,pdf,SUCCEEDED
426,50,q-zaf-hsrc-dhs-1987.pdf,pdf,SUCCEEDED
428,50,zaf-hsrc-dhs-1987-codebook.pdf,pdf,SUCCEEDED
430,51,Q_Migration in SA 2001-2002.pdf,pdf,SUCCEEDED
432,51,Migration in SA 2001-2002 Report.pdf,pdf,SUCCEEDED
434,51,Migration in SA 2001-2002 Codebook.pdf,pdf,SUCCEEDED
436,51,Migration in SA 2001-2002 Hhold.pdf,pdf,SUCCEEDED
438,51,Migration in SA 2001-2002 Indiv.pdf,pdf,SUCCEEDED
440,52,q-steps-2015.pdf,pdf,SUCCEEDED
442,52,steps-2015-report.pdf,pdf,SUCCEEDED
444,52,steps-2015-manual.pdf,pdf,SUCCEEDED
446,53,q-tus-2000.pdf,pdf,SUCCEEDED
448,53,tus-2000-report.pdf,pdf,SUCCEEDED
450,53,tus-2000-manual.pdf,pdf,SUCCEEDED
452,53,tus-2000-metadata.pdf,pdf,SUCCEEDED
454,54,q-zaf-doh-dhs-2016.pdf,pdf,SUCCEEDED
456,54,zaf-doh-dhs-2016-final-report.pdf,pdf,SUCCEEDED
458,54,zaf-doh-dhs-2016-summary-report.pdf,pdf,SUCCEEDED
460,55,Khayelitsha Integrated Family Survey 2002-5 Questionnaires.zip,zip,SUCCEEDED
462,55,zaf-datafirst-khayelitsha-ifs-2002-2005-v01_overview.pdf,pdf,SUCCEEDED
464,55,Agincourt & Khayelitsha IFS 2002-5 090615.zip,zip,SUCCEEDED
466,56,Q_CAS 2005.pdf,pdf,SUCCEEDED
468,56,CAS 2005 User Guide.pdf,pdf,SUCCEEDED
470,57,documentation_303.pdf,pdf,FAILED_SERVER_UNRESPONSIVE
471,57,no_files,,FAILED_LOGIN_REQUIRED
472,58,q-kids-2004.pdf,pdf,SUCCEEDED
474,58,kids-2004-codebook.pdf,pdf,SUCCEEDED
476,58,kids-2004-hhold-roster-notes.pdf,pdf,SUCCEEDED
478,58,kids-2004-overview.pdf,pdf,SUCCEEDED
480,58,kids-2004-v1.1-program-library.zip,zip,SUCCEEDED
482,59,Q_PSS South Africa 2001.pdf,pdf,SUCCEEDED
484,59,PSS South Africa 2001 Report.pdf,pdf,SUCCEEDED
486,59,PSS South Africa 2001 Codes.pdf,pdf,SUCCEEDED
488,59,PSS Samples.pdf,pdf,SUCCEEDED
490,59,PSS South Africa 2001 Varnames.pdf,pdf,SUCCEEDED
492,60,q-taca-w1-community.pdf,pdf,SUCCEEDED
494,60,q-taca-w1-hhold.pdf,pdf,SUCCEEDED
496,60,q-taca-w1-individual.pdf,pdf,SUCCEEDED
498,60,q-taca-w1-intercept.pdf,pdf,SUCCEEDED
500,60,q-taca-w1-principal.pdf,pdf,SUCCEEDED
502,60,q-taca-w2-hhold.pdf,pdf,SUCCEEDED
504,60,q-taca-w2-principal.pdf,pdf,SUCCEEDED
506,60,q-taca-w2-individual-1.1.pdf,pdf,SUCCEEDED
508,60,taca-1999-2002-report-final.pdf,pdf,SUCCEEDED
510,61,EVS-WVS_Participating Countries.pdf,pdf,SUCCEEDED
512,62,q-cses-4-2011-2016.pdf,pdf,SUCCEEDED
514,62,q-cnep-common-core-20151014.pdf,pdf,SUCCEEDED
516,62,cses-4-sa-2015-design-report-20161128.pdf,pdf,SUCCEEDED
518,62,cses-4-sa-2015-macro-report-20161129.pdf,pdf,SUCCEEDED
520,62,cses-4-2011-2016-respondent-booklet.pdf,pdf,SUCCEEDED
522,62,cnep-sa-2015-ethics-20150123.pdf,pdf,SUCCEEDED
524,63,q-tss-2017-round1.pdf,pdf,SUCCEEDED
526,63,q-tss-2018-round2.pdf,pdf,SUCCEEDED
528,64,expose-1998-2017-codebk-eng.pdf,pdf,SUCCEEDED
530,64,expose-1998-2017-code.zip,zip,SUCCEEDED
532,64,expose-1998-2017-codebk-sa.pdf,pdf,SUCCEEDED
534,65,q-spp-1980-1981-resettlement-areas.pdf,pdf,SUCCEEDED
536,65,q-spp-1980-1981-threatened-areas.pdf,pdf,SUCCEEDED
538,65,1983-spp-report-1-overview.pdf,pdf,SUCCEEDED
540,65,1983-spp-report-2-e-cape.pdf,pdf,SUCCEEDED
542,65,1983-spp-report-3-w-n-cape-ofs.pdf,pdf,SUCCEEDED
544,65,1983-spp-report-4-natal.pdf,pdf,SUCCEEDED
546,65,1983-spp-report-5-transvaal.pdf,pdf,SUCCEEDED
548,65,spp-1980-1981-enumerators-manual.pdf,pdf,SUCCEEDED
550,65,spp-1980-1981-geog-variables.pdf,pdf,SUCCEEDED
552,65,spp-1980-1981-codebook.pdf,pdf,SUCCEEDED
554,65,1985-surplus-people.pdf,pdf,SUCCEEDED
556,66,Q_Agincourt IFS 2002 CH.pdf,pdf,SUCCEEDED
558,66,Q_Agincourt IFS 2002 HH.pdf,pdf,SUCCEEDED
560,66,Q_Agincourt IFS 2002 OA.pdf,pdf,SUCCEEDED
562,66,Q_Agincourt IFS 2002 YA.pdf,pdf,SUCCEEDED
564,66,Agincourt & Khayelitsha IFS 2002-5 090615.pdf,pdf,SUCCEEDED
566,67,Q_Agincourt IFS 2004 HH.pdf,pdf,SUCCEEDED
568,67,Q_Agincourt IFS 2004 AD.pdf,pdf,SUCCEEDED
570,67,Q_Agincourt IFS 2004 CH.pdf,pdf,SUCCEEDED
572,67,Agincourt & Khayelitsha IFS 2002-5 090615.pdf,pdf,SUCCEEDED
576,68,q-afr34-2019-2021.zip,zip,SUCCEEDED
578,68,afr34-2019-2021-merged-codebooks.zip,zip,SUCCEEDED
580,69,Q_SAIFS 1999 Child.pdf,pdf,SUCCEEDED
582,69,Q_SAIFS 1999 Health.pdf,pdf,SUCCEEDED
584,69,Q_SAIFS 1999 Hhold.pdf,pdf,SUCCEEDED
586,69,Q_SAIFS 1999 Older.pdf,pdf,SUCCEEDED
588,69,Q_SAIFS 1999 Younger.pdf,pdf,SUCCEEDED
590,69,saifs-1999-data-quality-issues.pdf,pdf,SUCCEEDED
592,69,SAIFS 1999 Intro.pdf,pdf,SUCCEEDED
594,69,SAIFS 1999 Manual.pdf,pdf,SUCCEEDED
596,69,saifs-1999-syntax.zip,zip,SUCCEEDED
598,70,q-clsds-2016-2017.pdf,pdf,SUCCEEDED
600,70,clsds-2016-2017-technical-report.pdf,pdf,SUCCEEDED
602,71,Free State HH questionnaire.pdf,pdf,SUCCEEDED
604,71,Limpopo HH questionnaire.pdf,pdf,SUCCEEDED
606,71,Description of datasets and unique identifiers.pdf,pdf,SUCCEEDED
608,71,Interviewer Manual.pdf,pdf,SUCCEEDED
610,71,Informal Settlement Upgrading in South Africa Report.pdf,pdf,SUCCEEDED
612,71,Presentation of Results.pdf,pdf,SUCCEEDED
614,71,Upgrading of Informal Settlements DIME Brief.pdf,pdf,SUCCEEDED
616,72,q-sarb-2021-r17.pdf,pdf,SUCCEEDED
618,72,sarb-2021-r17-report.pdf,pdf,SUCCEEDED
620,73,mw-2014-2018-research-protocol.pdf,pdf,SUCCEEDED
622,73,mw-2014-2018-questionnaires.zip,zip,SUCCEEDED
624,73,mw-2014-2018-codebook.xlsx,xlsx,SUCCEEDED
626,74,q-cnep-3.5-sa-2009-2090930.pdf,pdf,SUCCEEDED
628,74,cses-3-sa-2009-design-report.pdf,pdf,SUCCEEDED
630,74,cnep-sa-2009-technical-report.pdf,pdf,SUCCEEDED
632,75,Q_Internal Migration in SA 1999-2000.pdf,pdf,SUCCEEDED
634,75,Internal Migration in SA 1999-2000 Codebook.pdf,pdf,SUCCEEDED
636,76,IDASA Local Election Study 1995 Codebook.pdf,pdf,SUCCEEDED
638,76,IDASA Local Election Study 1995 Outline.pdf,pdf,SUCCEEDED
640,77,IDASA Opinion99-Nyulo-T2.pdf,pdf,SUCCEEDED
642,77,IDASA Opinion99-Nyulo-T3.pdf,pdf,SUCCEEDED
644,77,IDASA Opinion99-Nyulo-T4.pdf,pdf,SUCCEEDED
646,77,IDASA Opinion99 1998 Codebook.pdf,pdf,SUCCEEDED
648,77,IDASA Opinion99 1998 Methodology.pdf,pdf,SUCCEEDED
650,77,IDASA Opinion99 1998 Info.pdf,pdf,SUCCEEDED
652,78,q-afr39-2021-2023.zip,zip,SUCCEEDED
654,78,afr39-2021-2023-codebooks.zip,zip,SUCCEEDED
656,79,q-zmfs-2015-2016.zip,zip,SUCCEEDED
658,79,zmfs-2015-2016-readme.pdf,pdf,SUCCEEDED
660,79,zmfs-2015-2016-sampling.pdf,pdf,SUCCEEDED
662,79,zmfs-2015-codebook-formal.pdf,pdf,SUCCEEDED
664,79,zmfs-2015-codebook-informal.pdf,pdf,SUCCEEDED
666,80,KMP_2000_documentation.zip,zip,SUCCEEDED
668,81,q-rammps-mwi-2022-2023.pdf,pdf,SUCCEEDED
670,81,rammps-mwi-2022-2023-codebook.pdf,pdf,SUCCEEDED
676,81,rammps-mwi-2022-2023-v1-csv.zip,zip,SUCCEEDED
678,81,rammps-mwi-2022-2023-v1-stata.zip,zip,SUCCEEDED
680,82,q-sayp-1999.pdf,pdf,SUCCEEDED
682,82,2002-child-labour-action-programme.pdf,pdf,SUCCEEDED
684,82,sayp-1999-report.pdf,pdf,SUCCEEDED
686,82,sayp-1999-metadata.pdf,pdf,SUCCEEDED
688,82,sayp_1999_v1.1_syntax.zip,zip,SUCCEEDED
690,83,q-qols-2023-2024.pdf,pdf,SUCCEEDED
692,83,qols-2023-2024-data.pdf,pdf,SUCCEEDED
694,83,qols-2023-2024-fieldwork.pdf,pdf,SUCCEEDED
696,83,qols-2023-2024-index.pdf,pdf,SUCCEEDED
698,83,qols-2023-2024-sampling.pdf,pdf,SUCCEEDED
700,83,qols-2023-2024-weighting.pdf,pdf,SUCCEEDED
702,83,qols-2023-2024-w-analysis.pdf,pdf,SUCCEEDED
704,84,pases-1995-2024-guide.pdf,pdf,SUCCEEDED
706,84,pases-1995-2024-v1-syntax.zip,zip,SUCCEEDED
708,85,q-pslsd-1993-hhold.pdf,pdf,SUCCEEDED
710,85,q-pslsd-1993-community.pdf,pdf,SUCCEEDED
712,85,q-kids-1998-hhold.pdf,pdf,SUCCEEDED
714,85,q-kids-1998-community.pdf,pdf,SUCCEEDED
716,85,pslsd-1993-coding-manual.pdf,pdf,SUCCEEDED
718,85,kids-1998-hhidform.pdf,pdf,SUCCEEDED
720,85,kids-1998-coding-manual.pdf,pdf,SUCCEEDED
722,85,kids-1998-fieldworkers-manual.pdf,pdf,SUCCEEDED
724,85,kids-1993-1998-overview-v2.pdf,pdf,SUCCEEDED
726,85,kids-1993-1998-v2-program-library.zip,zip,SUCCEEDED
728,86,q-qols-2023-2024.pdf,pdf,SUCCEEDED
730,86,qols-2023-2024-data.pdf,pdf,SUCCEEDED
732,86,qols-2023-2024-fieldwork.pdf,pdf,SUCCEEDED
734,86,qols-2023-2024-index.pdf,pdf,SUCCEEDED
736,86,qols-2023-2024-sampling.pdf,pdf,SUCCEEDED
738,86,qols-2023-2024-w-analysis.pdf,pdf,SUCCEEDED
740,86,qols-2023-2024-weighting.pdf,pdf,SUCCEEDED
742,87,q-vcs-1998.pdf,pdf,SUCCEEDED
744,87,vcs-1998-layout.pdf,pdf,SUCCEEDED
746,87,vcs-1998-md-codes.pdf,pdf,SUCCEEDED
748,87,vcs-1998-metadata.pdf,pdf,SUCCEEDED
750,87,vcs-1998-occ-codes.pdf,pdf,SUCCEEDED
752,87,vcs-1998-q-codelist.pdf,pdf,SUCCEEDED
754,87,vcs-1998-report.pdf,pdf,SUCCEEDED
756,88,lfl-2017-instruments.zip,zip,SUCCEEDED
758,88,lfl-2017-case-studies.zip,zip,SUCCEEDED
760,88,leadership-for-literacy-2017-user-guide.pdf,pdf,SUCCEEDED
762,88,lfl-2017-codebooks.zip,zip,SUCCEEDED
764,88,20160905-lfl-2017-ethics-approval.pdf,pdf,SUCCEEDED
766,89,Q_PSS Ethiopia 2001.pdf,pdf,SUCCEEDED
768,89,PSS Ethiopia 2001 Report.pdf,pdf,SUCCEEDED
770,90,agr-1984-codebook.pdf,pdf,SUCCEEDED
772,91,Q_ERHS_Household 1989.pdf,pdf,SUCCEEDED
774,91,Q_ERHS_Household 1994a.pdf,pdf,SUCCEEDED
